level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1920	1080	-1	
2	1	1	0	0	0	597	49	837	161	-1	
3	1	1	1	0	0	597	49	837	161	-1	
4	1	1	1	1	0	705	49	618	38	-1	
5	1	1	1	1	1	705	49	74	30	96.815964	U.S.
5	1	1	1	1	2	794	49	159	38	96.072212	Treasury
5	1	1	1	1	3	965	49	82	30	96.207283	Zero
5	1	1	1	1	4	1062	49	139	38	96.207283	Coupon
5	1	1	1	1	5	1215	49	108	30	96.395630	Yields
4	1	1	1	2	0	675	90	676	38	-1	
5	1	1	1	2	1	675	90	111	30	96.097893	Actual
5	1	1	1	2	2	802	90	64	30	96.442070	and
5	1	1	1	2	3	884	90	162	38	96.105103	Empirical
5	1	1	1	2	4	1064	90	164	38	95.749786	Expected
5	1	1	1	2	5	1242	90	109	30	96.835144	Yields
4	1	1	1	3	0	597	131	837	38	-1	
5	1	1	1	3	1	597	131	77	30	93.005836	HJM
5	1	1	1	3	2	693	131	172	30	92.024117	12-Factor
5	1	1	1	3	3	879	131	106	30	95.566422	Model
5	1	1	1	3	4	999	131	70	30	96.925385	with
5	1	1	1	3	5	1085	131	187	30	96.033096	Stochastic
5	1	1	1	3	6	1284	131	150	38	96.131363	Volatility
4	1	1	1	4	0	662	172	703	38	-1	
5	1	1	1	4	1	662	172	187	30	96.040939	Simulation
5	1	1	1	4	2	865	172	84	30	96.076958	Start
5	1	1	1	4	3	964	172	92	30	96.076958	Date:
5	1	1	1	4	4	1068	172	128	38	96.521049	August
5	1	1	1	4	5	1208	172	53	36	95.782181	29,
5	1	1	1	4	6	1277	172	88	30	96.773720	2025
2	1	2	0	0	0	151	216	390	2	-1	
3	1	2	1	0	0	151	216	390	2	-1	
4	1	2	1	1	0	151	216	390	2	-1	
5	1	2	1	1	1	151	216	390	2	95.000000	 
2	1	3	0	0	0	1487	216	392	2	-1	
3	1	3	1	0	0	1487	216	392	2	-1	
4	1	3	1	1	0	1487	216	392	2	-1	
5	1	3	1	1	1	1487	216	392	2	95.000000	 
2	1	4	0	0	0	1877	216	2	587	-1	
3	1	4	1	0	0	1877	216	2	587	-1	
4	1	4	1	1	0	1877	216	2	587	-1	
5	1	4	1	1	1	1877	216	2	587	95.000000	 
2	1	5	0	0	0	555	876	983	95	-1	
3	1	5	1	0	0	555	876	983	95	-1	
4	1	5	1	1	0	902	876	224	28	-1	
5	1	5	1	1	1	902	876	75	22	96.829102	Years
5	1	5	1	1	2	986	877	24	21	96.675560	to
5	1	5	1	1	3	1021	876	105	28	96.703781	Maturity
4	1	5	1	2	0	555	951	983	20	-1	
5	1	5	1	2	1	555	951	39	16	95.074738	U.S.
5	1	5	1	2	2	602	951	85	20	96.300980	Treasury
5	1	5	1	2	3	694	951	44	16	96.762276	Zero
5	1	5	1	2	4	746	951	75	20	95.461464	Coupon
5	1	5	1	2	5	830	951	48	16	95.461464	Bond
5	1	5	1	2	6	886	951	46	16	96.790276	Yield
5	1	5	1	2	7	1158	951	40	16	96.032242	U.S.
5	1	5	1	2	8	1206	951	85	20	96.476974	Treasury
5	1	5	1	2	9	1299	951	87	20	96.654655	Empirical
5	1	5	1	2	10	1396	951	88	20	96.821671	Expected
5	1	5	1	2	11	1492	951	46	16	96.743164	Yield
2	1	6	0	0	0	156	1015	579	20	-1	
3	1	6	1	0	0	156	1015	579	20	-1	
4	1	6	1	1	0	156	1015	579	20	-1	
5	1	6	1	1	1	156	1015	74	16	96.761902	Source:
5	1	6	1	1	2	238	1015	43	16	96.338562	SAS
5	1	6	1	1	3	289	1015	75	16	93.284187	Institute
5	1	6	1	1	4	373	1015	38	19	93.170746	Inc.,
5	1	6	1	1	5	420	1015	39	16	83.199593	U.S.
5	1	6	1	1	6	469	1015	113	20	96.661819	Department
5	1	6	1	1	7	589	1015	18	16	96.415329	of
5	1	6	1	1	8	613	1015	30	16	96.786049	the
5	1	6	1	1	9	650	1015	85	20	96.293060	Treasury
2	1	7	0	0	0	0	0	1920	1080	-1	
3	1	7	1	0	0	0	0	1920	1080	-1	
4	1	7	1	1	0	0	0	1920	1080	-1	
5	1	7	1	1	1	0	0	1920	1080	95.000000	 
